feature	perturbation	base_threshold	perturbed_threshold	final_n	overlap_n	missing_n	extra_n	missing	extra	exact_match
aa_root	-5%	0.125	0.11875	34	32	0	2		COL4A4;TGFBR1	FALSE
aa_root	+5%	0.125	0.13125	31	31	1	0	THBS2		FALSE
cluster_signed_low	-5%	-0.5	-0.525	32	32	0	0			TRUE
cluster_signed_low	+5%	-0.5	-0.475	32	32	0	0			TRUE
integrin_abs_median	-5%	0.25	0.2375	31	31	1	0	ITGB1		FALSE
integrin_abs_median	+5%	0.25	0.2625	33	32	0	1		ITGAE	FALSE
signed_degree_040_zero_split	-5%	0.005	0.00475	32	32	0	0			TRUE
signed_degree_040_zero_split	+5%	0.005	0.00525	32	32	0	0			TRUE
collagen_seed_degree	-5%	0.766194332	0.7278846154	38	32	0	6		DDR2;EMILIN1;LAMB1;LUM;TGFB2;TLL1	FALSE
collagen_seed_degree	+5%	0.766194332	0.8045040486	21	20	12	1	COL1A2;COL4A3;COL8A1;ITGA1;ITGA2B;ITGA6;LAMA1;LAMA4;MMP1;MMP16;MMP20;POSTN	MMP28	FALSE
matricellular_signed_mean	-5%	0.69	0.6555	38	32	0	6		DPT;EMILIN1;LAMB1;LUM;TGFB2;TLL1	FALSE
matricellular_signed_mean	+5%	0.69	0.7245	30	30	2	0	ITGBL1;MMP13		FALSE
aa_narrow	-5%	0.14	0.133	32	32	0	0			TRUE
aa_narrow	+5%	0.14	0.147	33	32	0	1		DDR2	FALSE
aa_high	-5%	0.19	0.1805	33	32	0	1		GREM1	FALSE
aa_high	+5%	0.19	0.1995	31	31	1	0	MMP13		FALSE
signed_degree_060	-5%	0.77	0.7315	29	29	3	0	COL11A1;COL5A1;COL5A2		FALSE
signed_degree_060	+5%	0.77	0.8085	33	32	0	1		COL13A1	FALSE
mmp_signed_max	-5%	0.939526755	0.89255041725	31	31	1	0	COL5A2		FALSE
mmp_signed_max	+5%	0.939526755	0.98650309275	33	32	0	1		COL4A6	FALSE
all_signed_median	-5%	0.838103855	0.79619866225	20	20	12	0	COL1A2;COL2A1;COL4A3;ITGA1;ITGA2B;ITGA4;LAMA1;LAMA4;MMP1;MMP16;MMP20;POSTN		FALSE
all_signed_median	+5%	0.838103855	0.88000904775	34	31	1	3	LAMA2	LAMB4;MMP28;NF1	FALSE
cluster_signed_high	-5%	0.686	0.6517	35	32	0	3		LAMB4;MMP28;NF1	FALSE
cluster_signed_high	+5%	0.686	0.7203	30	30	2	0	COL8A1;LAMA2		FALSE
signed_degree_030	-5%	0.9	0.855	33	32	0	1		TLL2	FALSE
signed_degree_030	+5%	0.9	0.945	17	17	15	0	COL10A1;COL15A1;COL1A2;COL2A1;COL4A3;ITGA1;ITGA2B;ITGA4;ITGA6;LAMA1;LAMA4;MMP1;MMP16;MMP20;POSTN		FALSE
